date,Regional Price Parities,msa_state,city,title,id,frequency,seasonal_adjustment
2012-01-01,99.775,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2013-01-01,99.109,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2014-01-01,99.623,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2015-01-01,96.402,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2016-01-01,97.385,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2017-01-01,99.698,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2018-01-01,101.221,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2019-01-01,102.523,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2020-01-01,101.860,WA,Kennewick,"Regional Price Parities: All Items for Kennewick-Richland, WA (MSA)",RPPALL28420,Annual,Not Seasonally Adjusted
2008-01-01,96.413,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2009-01-01,95.138,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2010-01-01,94.435,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2011-01-01,95.141,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2012-01-01,90.837,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2013-01-01,91.604,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2014-01-01,92.880,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2015-01-01,93.611,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2016-01-01,91.000,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2017-01-01,92.754,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2018-01-01,89.423,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2019-01-01,91.245,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2020-01-01,89.314,ID,Lewiston,"Regional Price Parities: All Items for Lewiston, ID-WA (MSA)",RPPALL30300,Annual,Not Seasonally Adjusted
2008-01-01,96.242,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2009-01-01,95.798,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2010-01-01,95.732,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2011-01-01,93.683,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2012-01-01,94.481,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2013-01-01,95.793,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2014-01-01,95.758,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2015-01-01,94.582,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2016-01-01,94.391,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2017-01-01,93.544,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
2018-01-01,95.047,NE,Lincoln,"Regional Price Parities: All Items for Lincoln, NE (MSA)",RPPALL30700,Annual,Not Seasonally Adjusted
