date,Combined Violent and Property Crime Offenses,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2013-01-01,543.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2014-01-01,529.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2015-01-01,472.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2016-01-01,590.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2017-01-01,528.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2018-01-01,544.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2019-01-01,459.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2020-01-01,745.0,WA,Kennewick,Benton County,WA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Benton County, WA",FBITC053005,Annual,Not Seasonally Adjusted
2009-01-01,0.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2010-01-01,0.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2011-01-01,0.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2012-01-01,129.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2013-01-01,92.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2014-01-01,0.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2015-01-01,64.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2016-01-01,64.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2017-01-01,58.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2018-01-01,0.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2019-01-01,48.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2020-01-01,0.0,NY,New York,Bergen County,NJ,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Bergen County, NJ",FBITC034003,Annual,Not Seasonally Adjusted
2004-01-01,3383.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2005-01-01,3891.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2006-01-01,3917.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2007-01-01,3905.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2008-01-01,4196.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2009-01-01,3949.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2010-01-01,3958.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2011-01-01,3860.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2012-01-01,4045.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2013-01-01,3868.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2014-01-01,.,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2015-01-01,3316.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2016-01-01,3291.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2017-01-01,433.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2018-01-01,2900.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2019-01-01,.,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2020-01-01,2902.0,SC,Charleston,Berkeley County,SC,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Berkeley County, SC",FBITC045015,Annual,Not Seasonally Adjusted
2010-01-01,316.0,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2011-01-01,.,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2012-01-01,.,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2013-01-01,226.0,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2014-01-01,.,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2015-01-01,.,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2016-01-01,195.0,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2017-01-01,184.0,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2018-01-01,203.0,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2019-01-01,173.0,IL,Rockford,Boone County,IL,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, IL",FBITC017007,Annual,Not Seasonally Adjusted
2005-01-01,1255.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2006-01-01,1348.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2007-01-01,1432.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2008-01-01,.,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2009-01-01,1343.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2010-01-01,1559.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2011-01-01,1554.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2012-01-01,1454.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2013-01-01,1437.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2014-01-01,1212.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2015-01-01,1104.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2016-01-01,1029.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2017-01-01,976.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2018-01-01,880.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2019-01-01,883.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2020-01-01,820.0,OH,Cincinnati,Boone County,KY,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Boone County, KY",FBITC021015,Annual,Not Seasonally Adjusted
2005-01-01,284.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2006-01-01,227.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2007-01-01,225.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2008-01-01,226.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2009-01-01,193.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2010-01-01,194.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2011-01-01,231.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2012-01-01,199.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2013-01-01,200.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2014-01-01,242.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2015-01-01,182.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2016-01-01,246.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2017-01-01,204.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2018-01-01,211.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
2019-01-01,143.0,UT,Ogden,Box Elder County,UT,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Box Elder County, UT",FBITC049003,Annual,Not Seasonally Adjusted
