date,Equifax Subprime Credit Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2015-04-01,18.628176659264742,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2015-07-01,18.669950738916256,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2015-10-01,18.860510805500983,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2016-01-01,17.889570552147237,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2016-04-01,17.34019103600294,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2016-07-01,17.456479690522244,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2016-10-01,17.098321342925658,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2017-01-01,16.57169990503324,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2017-04-01,16.61113755354593,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2017-07-01,17.01626207871789,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2017-10-01,17.170777105630524,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2018-01-01,16.380510440835266,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2018-04-01,16.389274156264445,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2018-07-01,16.755257684307836,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2018-10-01,16.854190585533868,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2019-01-01,16.19460941068981,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2019-04-01,15.962548527060974,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2019-07-01,16.56898106402164,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2019-10-01,16.116722783389452,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2020-01-01,15.681463305821994,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2020-04-01,14.8352863143931,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2020-07-01,14.16242531533525,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2020-10-01,14.12280701754386,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2021-01-01,13.61646234676007,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2021-04-01,13.067309800482349,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2021-07-01,13.540534666376875,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
1999-01-01,28.843710292249046,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
1999-04-01,28.735632183908045,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
1999-07-01,27.82051282051282,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
1999-10-01,26.329113924050635,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2000-01-01,28.694581280788178,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2000-04-01,28.834355828220858,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2000-07-01,28.98172323759791,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2000-10-01,31.162196679438058,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
2001-01-01,30.759651307596513,ID,Lewiston,Asotin County,WA,"Equifax Subprime Credit Population for Asotin County, WA",EQFXSUBPRIME053003,Quarterly,Not Seasonally Adjusted
