date,Resident Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1978-01-01,12.000,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1979-01-01,13.500,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1980-01-01,14.528,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1981-01-01,15.576,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1982-01-01,16.644,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1983-01-01,17.371,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1984-01-01,18.803,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1985-01-01,20.721,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1986-01-01,22.476,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1987-01-01,24.079,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1988-01-01,24.059,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1989-01-01,24.744,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1990-01-01,25.918,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1991-01-01,27.320,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1992-01-01,29.206,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1993-01-01,30.520,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1994-01-01,32.043,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1995-01-01,33.428,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1996-01-01,34.993,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1997-01-01,36.652,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1998-01-01,38.465,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
1999-01-01,40.864,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2000-01-01,43.799,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2001-01-01,47.030,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2002-01-01,50.739,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2003-01-01,54.426,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2004-01-01,57.907,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2005-01-01,62.238,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2006-01-01,68.576,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2007-01-01,73.915,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2008-01-01,77.567,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2009-01-01,80.877,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2010-01-01,78.971,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2011-01-01,81.103,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2012-01-01,82.772,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2013-01-01,84.732,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2014-01-01,87.138,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2015-01-01,90.258,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2016-01-01,93.579,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
2017-01-01,96.956,TX,Dallas,Rockwall County,TX,"Resident Population in Rockwall County, TX",TXROCK7POP,Annual,Not Seasonally Adjusted
