date,hpi,pred_1,pred_2,pred_3,pred_4,std_1,std_2,std_3,std_4,AIC,pval,naive_1,naive_2,naive_3,naive_4,city,p,d,q
2018-01-01,175.77970801742217,177.9529022155209,179.15498064597318,173.80603417910874,177.1390151595231,5.244994165114276,6.592528966799749,8.72813698095473,11.538083194144082,71.73436956969627,0.12491620678347282,174.06040651718018,179.11766897886756,174.32878528794967,169.46442006775283,Morgantown,3,2,0
2018-04-01,181.47437005968703,182.5930423029048,180.81221201327352,182.5289404231933,172.74660903638681,2.9779346430924054,6.336335015425554,8.62108930173034,12.167771973329215,62.059152942345875,0.3444592722927542,175.77970801742217,174.06040651718018,179.11766897886756,174.32878528794967,Morgantown,3,2,0
2018-07-01,179.8892579448298,179.6594893366329,179.87087367697598,179.44406172467345,182.37743208593008,1.9051938760998135,6.79823601909539,8.259694829525461,11.845456305126648,53.44305261450432,0.13121052181858098,181.47437005968703,175.77970801742217,174.06040651718018,179.11766897886756,Morgantown,3,2,0
2018-10-01,171.41016615583158,178.88085431937455,177.62714310935405,178.64945865463892,180.98306503321183,1.5400199910771502,2.7886305219068226,10.349789515194667,11.396600746791115,50.02900290694272,0.3535784937107883,179.8892579448298,181.47437005968703,175.77970801742217,174.06040651718018,Morgantown,3,2,0
2019-01-01,182.87497176964027,177.41258563278413,184.50825376944042,182.76656115894764,185.510658452372,2.1326740074333768,2.7282540263490627,3.2409567680694695,15.333139976470632,57.500803584012004,0.23569509600801458,171.41016615583158,179.8892579448298,181.47437005968703,175.77970801742217,Morgantown,3,2,0
2019-04-01,181.87693821584128,181.228864567056,180.62780502261904,185.66288398307697,184.4523796580019,2.1162782462645784,2.795507966929682,3.3726033944589124,4.423469005251713,58.946498144433825,0.025302467070793658,182.87497176964027,171.41016615583158,179.8892579448298,181.47437005968703,Morgantown,3,2,0
2019-07-01,185.5923068236812,175.59502712054052,175.29005319209435,173.3452452438306,183.10482108828896,2.1321873535505675,2.3562019569839463,3.214472779364247,4.571695383599375,59.00203131293596,0.034454766082063576,181.87693821584128,182.87497176964027,171.41016615583158,179.8892579448298,Morgantown,3,2,0
2019-10-01,187.7141764800774,182.98168985821096,178.18882512175,177.82405685369667,171.6129968538873,3.9341459579120603,2.3924641847250308,2.831156373155395,4.329512560614461,67.91530328939203,0.06482438481687396,185.5923068236812,181.87693821584128,182.87497176964027,171.41016615583158,Morgantown,3,2,0
2011-01-01,151.86045007259236,152.49592197206348,,,,1.9444940199316705,,,,53.38561698948509,0.8002390092865694,152.99267301177608,150.00695918696564,148.74054686239714,149.83083561864817,Morgantown,3,2,1
2011-04-01,150.74500080658171,153.53920441416335,154.07354772431177,,,1.889869013869686,2.415357645910456,,,53.34844213228445,0.9154142748661448,151.86045007259236,152.99267301177608,150.00695918696564,148.74054686239714,Morgantown,3,2,1
2011-07-01,150.55210356509113,151.10608099678367,153.46922384586043,154.4697589042036,,1.8876821157211825,2.212865262379138,3.349109261653098,,53.75061407047798,0.8807538861295848,150.74500080658171,151.86045007259236,152.99267301177608,150.00695918696564,Morgantown,3,2,1
2011-10-01,153.21911759961284,151.08687436309538,151.53418715143167,153.91266585028285,155.38022085441582,1.8875353546008427,2.2409214261962296,2.9814207922281626,4.152542347658614,53.750355439806164,0.8920413132789349,150.55210356509113,150.74500080658171,151.86045007259236,152.99267301177608,Morgantown,3,2,1
2012-01-01,150.9462848846588,152.8008850368732,151.30421190532016,151.86122777147537,154.35380506830995,1.9806778081814027,2.257481650267721,2.744268738069061,3.5761669947905985,54.522621517245646,0.678244861583159,153.21911759961284,150.55210356509113,150.74500080658171,151.86045007259236,Morgantown,3,2,1
2012-04-01,153.3197596386514,151.95058535894577,153.2219163646865,151.48210195969315,151.96947993858493,1.761407430059649,2.4342100641000464,2.8112210410092393,3.0138800557813172,52.870376402529836,0.7912084268007257,150.9462848846588,153.21911759961284,150.55210356509113,150.74500080658171,Morgantown,3,2,1
2012-07-01,154.18360380706565,152.68178342970617,152.57869124106097,152.93765093051675,151.53919715259332,1.7197580646352144,1.9402091788575795,2.983573639704964,3.080218963564101,52.720810604383324,0.7165370620216533,153.3197596386514,150.9462848846588,153.21911759961284,150.55210356509113,Morgantown,3,2,1
