date,Average Weekly Wages for Employees in Total Covered Establishments,msa_state,city,title,id,frequency,seasonal_adjustment
2014-04-01,834.2911889900729,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2014-07-01,831.780702829741,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2014-10-01,844.7726445241819,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2015-01-01,840.709894674696,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2015-04-01,850.204018939888,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2015-07-01,870.4509928374671,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2015-10-01,886.106963833706,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2016-01-01,852.091779806983,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2016-04-01,888.0289042964689,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2016-07-01,913.8065299122369,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2016-10-01,891.652282123486,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2017-01-01,916.481326706474,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2017-04-01,916.8335809429111,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2017-07-01,907.092033672233,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2017-10-01,922.794219440683,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2018-01-01,942.314838185865,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2018-04-01,926.089859615945,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2018-07-01,933.721733250901,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
