date,Estimated Percent of People of All Ages in Poverty,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1998-01-01,5.3,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
1999-01-01,5.2,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2000-01-01,5.0,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2001-01-01,5.2,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2002-01-01,5.7,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2003-01-01,6.1,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2004-01-01,5.7,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2005-01-01,5.5,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2006-01-01,5.3,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2007-01-01,5.9,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2008-01-01,5.3,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2009-01-01,6.6,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2010-01-01,6.9,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2011-01-01,6.6,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2012-01-01,8.0,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
2013-01-01,8.1,NY,New York,Bergen County,NJ,"Estimated Percent of People of All Ages in Poverty for Bergen County, NJ",PPAANJ34003A156NCEN,Annual,Not Seasonally Adjusted
